year,type,count
2000,Metal,21
2000,Rock,33
2000,Pop,7
2000,Folk,11
2000,Hip-Hop,14
2000,Jazz,2
2000,Electronic,2
2000,RnB,3
2000,Ambient,1
2000,Classical,4
2001,Metal,34
2001,Rock,26
2001,Pop,4
2001,Folk,11
2001,Hip-Hop,10
2001,Jazz,0
2001,Electronic,6
2001,RnB,2
2001,Ambient,3
2001,Classical,3
2002,Metal,20
2002,Rock,37
2002,Pop,7
2002,Folk,14
2002,Hip-Hop,10
2002,Jazz,2
2002,Electronic,1
2002,RnB,3
2002,Ambient,1
2002,Classical,4
2003,Metal,26
2003,Rock,29
2003,Pop,8
2003,Folk,15
2003,Hip-Hop,10
2003,Jazz,1
2003,Electronic,3
2003,RnB,0
2003,Ambient,4
2003,Classical,4
2004,Metal,30
2004,Rock,29
2004,Pop,8
2004,Folk,11
2004,Hip-Hop,7
2004,Jazz,1
2004,Electronic,5
2004,RnB,3
2004,Ambient,2
2004,Classical,4
2005,Metal,23
2005,Rock,32
2005,Pop,9
2005,Folk,14
2005,Hip-Hop,12
2005,Jazz,1
2005,Electronic,2
2005,RnB,1
2005,Ambient,1
2005,Classical,4
2006,Metal,33
2006,Rock,24
2006,Pop,6
2006,Folk,11
2006,Hip-Hop,8
2006,Jazz,6
2006,Electronic,3
2006,RnB,1
2006,Ambient,4
2006,Classical,4
2007,Metal,37
2007,Rock,25
2007,Pop,7
2007,Folk,6
2007,Hip-Hop,9
2007,Jazz,3
2007,Electronic,4
2007,RnB,1
2007,Ambient,6
2007,Classical,2
2008,Metal,26
2008,Rock,34
2008,Pop,6
2008,Folk,11
2008,Hip-Hop,5
2008,Jazz,3
2008,Electronic,2
2008,RnB,3
2008,Ambient,4
2008,Classical,3
2009,Metal,34
2009,Rock,28
2009,Pop,13
2009,Folk,10
2009,Hip-Hop,5
2009,Jazz,6
2009,Electronic,1
2009,RnB,0
2009,Ambient,3
2009,Classical,0
2010,Metal,29
2010,Rock,22
2010,Pop,15
2010,Folk,10
2010,Hip-Hop,7
2010,Jazz,0
2010,Electronic,4
2010,RnB,1
2010,Ambient,4
2010,Classical,1
2011,Metal,31
2011,Rock,27
2011,Pop,6
2011,Folk,10
2011,Hip-Hop,8
2011,Jazz,3
2011,Electronic,3
2011,RnB,2
2011,Ambient,5
2011,Classical,2
2012,Metal,28
2012,Rock,31
2012,Pop,9
2012,Folk,5
2012,Hip-Hop,12
2012,Jazz,2
2012,Electronic,3
2012,RnB,2
2012,Ambient,3
2012,Classical,3
2013,Metal,34
2013,Rock,23
2013,Pop,9
2013,Folk,10
2013,Hip-Hop,6
2013,Jazz,1
2013,Electronic,9
2013,RnB,1
2013,Ambient,4
2013,Classical,1
2014,Metal,31
2014,Rock,20
2014,Pop,8
2014,Folk,7
2014,Hip-Hop,8
2014,Jazz,5
2014,Electronic,11
2014,RnB,1
2014,Ambient,5
2014,Classical,2
2015,Metal,27
2015,Rock,16
2015,Pop,17
2015,Folk,4
2015,Hip-Hop,14
2015,Jazz,1
2015,Electronic,11
2015,RnB,0
2015,Ambient,4
2015,Classical,4
2016,Metal,24
2016,Rock,21
2016,Pop,17
2016,Folk,6
2016,Hip-Hop,12
2016,Jazz,3
2016,Electronic,5
2016,RnB,6
2016,Ambient,2
2016,Classical,4
2017,Metal,17
2017,Rock,21
2017,Pop,15
2017,Folk,8
2017,Hip-Hop,21
2017,Jazz,2
2017,Electronic,5
2017,RnB,3
2017,Ambient,4
2017,Classical,0
2018,Metal,19
2018,Rock,20
2018,Pop,15
2018,Folk,5
2018,Hip-Hop,16
2018,Jazz,4
2018,Electronic,7
2018,RnB,3
2018,Ambient,6
2018,Classical,2
2019,Metal,30
2019,Rock,17
2019,Pop,13
2019,Folk,7
2019,Hip-Hop,8
2019,Jazz,3
2019,Electronic,4
2019,RnB,7
2019,Ambient,8
2019,Classical,0
2020,Metal,34
2020,Rock,16
2020,Pop,13
2020,Folk,8
2020,Hip-Hop,15
2020,Jazz,3
2020,Electronic,5
2020,RnB,4
2020,Ambient,1
2020,Classical,0
2021,Metal,28
2021,Rock,16
2021,Pop,3
2021,Folk,7
2021,Hip-Hop,20
2021,Jazz,5
2021,Electronic,8
2021,RnB,3
2021,Ambient,2
2021,Classical,3
2022,Metal,35
2022,Rock,21
2022,Pop,11
2022,Folk,7
2022,Hip-Hop,21
2022,Jazz,0
2022,Electronic,3
2022,RnB,1
2022,Ambient,1
2022,Classical,0
